net,length_um
reset_n,252.67
clknet_1_0__leaf_clk,126.38
clknet_1_1__leaf_clk,122.96
_035_,96.52
_066_,72.3
curr_state\[2\],65.93
curr_state\[0\],58.46
_064_,58.14
net20,54.72
clk,53.92
_112_,42.26
net6,36.84
clk_gate_en,36.65
_107_,36.58
_068_,36.1
seq_timer\[0\],32.78
_025_,32.5
_002_,30.8
_063_,30.74
net2,30.2
net10,29.58
clknet_0_clk,29.5
net19,27.56
_077_,25.24
_058_,23.86
_003_,22.28
_036_,20.94
_099_,20.84
_070_,20.76
_095_,20.56
_081_,20.54
_016_,19.7
_054_,18.5
_022_,18.48
pwr_gate_en,18.35
_101_,17.75
_050_,17.42
_020_,17.32
_065_,17.32
_062_,16.98
seq_timer\[6\],16.48
_076_,16.34
sync_stage1\[0\],16.34
_116_,16.14
req_off_sync,16.04
_021_,15.8
_104_,15.58
seq_timer\[2\],14.62
_108_,14.54
_091_,13.94
_061_,13.72
_069_,13.34
_074_,13.34
seq_timer\[1\],13.08
_015_,12.98
seq_timer\[7\],12.96
_078_,12.8
_023_,12.58
_044_,12.085
_098_,11.97
_090_,11.96
_007_,11.9
wake_up_sync,11.9
_106_,11.88
error,11.75
_089_,11.62
_100_,11.5
next_state\[1\],11.44
_048_,11.36
net18,11.16
seq_timer\[4\],11.12
_047_,11.08
_060_,10.92
_103_,10.7
_105_,10.58
req_sleep,10.56
net7,10.46
curr_state\[1\],10.3
_057_,10.2
req_idle,10.1
_000_,9.94
wake_up,9.64
seq_timer\[3\],9.5
_075_,9.48
_088_,9.38
_094_,9.04
retention_save,8.93
net5,8.92
req_off,8.72
_014_,8.52
_110_,8.52
_084_,8.46
_012_,8.34
_072_,8.26
_018_,8.02
_085_,8.02
_079_,7.98
_034_,6.98
seq_busy,6.91
_049_,6.86
_032_,6.76
_039_,6.74
_030_,6.64
_040_,6.44
retention_en,6.33
_055_,6.3
_056_,6.28
_001_,6.26
req_idle_sync,6.26
reset_ctrl,6.21
_027_,6.14
_059_,6.14
_028_,6.03
retention_restore,5.87
_011_,5.86
_093_,5.72
next_state\[0\],5.72
_042_,5.7
dvfs_ctrl[1],5.63
sync_stage1\[1\],5.6
net9,5.45
_080_,5.405
_109_,5.4
_024_,5.36
_086_,5.36
net15,5.34
_114_,5.18
next_state\[2\],5.04
pwr_state[0],4.95
_006_,4.765
_052_,4.76
pwr_state[1],4.61
net21,4.61
_113_,4.58
clk_stable,4.49
pwr_stable,4.49
retention_ready,4.49
_067_,4.48
net8,4.42
_087_,4.25
_004_,4.22
sync_stage1\[2\],4.22
_019_,4.08
_029_,4.02
_083_,4.02
_038_,4
seq_timer\[5\],4
_111_,3.88
_097_,3.54
_073_,3.44
net1,3.44
_043_,3.42
_082_,3.42
_092_,3.1
sync_stage1\[3\],3.1
_017_,3.08
_096_,2.98
_031_,2.96
_051_,2.96
net12,2.96
_102_,2.86
_009_,2.84
_008_,2.76
_045_,2.64
_033_,2.62
net4,2.62
_026_,2.52
_010_,2.3
net13,2.28
_041_,2.2
net3,2.18
_005_,2.16
_037_,2.04
_046_,1.72
net14,1.7
net16,1.7
net17,1.7
net11,1.6
_115_,1.36
_013_,1.26
_071_,1.26
req_sleep_sync,0.8
_053_,0.46
